t,velL,velR,velL_sp,velR_sp,mL,mR,uL,uR
249.837642,6.978144,5.707227,,,0.300000,0.300000,,
249.842664,6.968624,6.016626,,,1.000000,1.000000,,
249.847640,7.297063,6.026146,,,1.000000,1.000000,,
249.852640,7.930141,6.978144,,,1.000000,1.000000,,
249.857640,8.896420,8.263341,,,1.000000,1.000000,,
249.862640,10.471975,10.153056,,,1.000000,1.000000,,
249.867640,12.057052,11.738132,,,1.000000,1.000000,,
249.872640,13.642128,12.690130,,,1.000000,1.000000,,
249.877640,14.594126,14.279966,,,1.000000,1.000000,,
249.882640,15.865043,15.231964,,,1.000000,1.000000,,
249.887640,16.817041,16.498121,,,1.000000,1.000000,,
249.892640,17.769039,17.131201,,,1.000000,1.000000,,
249.897640,18.402117,18.402117,,,1.000000,1.000000,,
249.902640,19.035196,19.354115,,,1.000000,1.000000,,
249.907672,20.896351,20.896351,,,1.000000,1.000000,,
249.912659,20.915392,20.915392,,,1.000000,1.000000,,
249.917668,21.534189,21.220030,,,1.000000,1.000000,,
249.922641,21.300951,20.986792,,,1.000000,1.000000,,
249.927668,22.833666,22.514748,,,1.000000,1.000000,,
249.932640,22.886026,22.886026,,,1.000000,1.000000,,
249.937640,23.162106,23.481026,,,1.000000,1.000000,,
249.942640,23.523865,23.204947,,,1.000000,1.000000,,
249.947640,24.433023,23.799944,,,1.000000,1.000000,,
249.952640,24.751942,24.114103,,,1.000000,1.000000,,
249.957640,25.066101,24.433023,,,1.000000,1.000000,,
249.962640,25.385021,25.066101,,,1.000000,1.000000,,
249.967640,25.703939,25.385021,,,1.000000,1.000000,,
249.972640,26.018099,25.703939,,,1.000000,1.000000,,
249.977640,26.337019,25.703939,,,1.000000,1.000000,,
249.982640,26.655937,25.703939,,,1.000000,1.000000,,
249.987640,26.970097,26.018099,,,1.000000,1.000000,,
249.992640,27.289017,26.337019,,,1.000000,1.000000,,
249.997640,27.289017,26.655937,,,1.000000,1.000000,,
250.002642,27.603176,26.651178,,,1.000000,1.000000,,
250.007640,27.607935,26.655937,,,1.000000,1.000000,,
250.012640,27.922094,26.655937,,,1.000000,1.000000,,
250.017640,27.926855,26.974857,,,1.000000,1.000000,,
250.022640,28.241014,26.970097,,,1.000000,1.000000,,
250.027640,28.559933,27.289017,,,1.000000,1.000000,,
250.032640,28.559933,27.289017,,,1.000000,1.000000,,
250.037640,28.559933,27.607935,,,1.000000,1.000000,,
250.042640,28.874092,27.607935,,,1.000000,1.000000,,
250.047640,29.193012,27.607935,,,1.000000,1.000000,,
250.052640,29.193012,27.607935,,,1.000000,1.000000,,
250.057640,29.193012,27.607935,,,1.000000,1.000000,,
250.062640,29.193012,27.607935,,,1.000000,1.000000,,
250.067640,29.511930,27.922094,,,1.000000,1.000000,,
250.072640,29.511930,27.922094,,,1.000000,1.000000,,
250.077640,29.826090,28.241014,,,1.000000,1.000000,,
250.082640,29.826090,27.922094,,,1.000000,1.000000,,
250.087640,29.826090,28.241014,,,1.000000,1.000000,,
250.092640,29.826090,28.241014,,,1.000000,1.000000,,
250.097640,29.826090,28.241014,,,1.000000,1.000000,,
250.102640,30.145010,28.241014,,,1.000000,1.000000,,
250.107640,30.145010,28.241014,,,1.000000,1.000000,,
250.112640,30.145010,28.559933,,,1.000000,1.000000,,
250.117640,30.145010,28.559933,,,1.000000,1.000000,,
250.122640,30.145010,28.559933,,,1.000000,1.000000,,
250.127640,30.463928,28.559933,,,1.000000,1.000000,,
250.132640,30.463928,28.559933,,,1.000000,1.000000,,
250.137640,30.463928,28.559933,,,1.000000,1.000000,,
250.142640,30.463928,28.559933,,,1.000000,1.000000,,
250.147640,30.463928,28.559933,,,1.000000,1.000000,,
250.152640,30.463928,28.874092,,,1.000000,1.000000,,
250.157640,30.463928,28.874092,,,1.000000,1.000000,,
250.162640,30.463928,28.874092,,,1.000000,1.000000,,
250.167640,30.463928,28.559933,,,1.000000,1.000000,,
250.172640,30.778088,28.874092,,,1.000000,1.000000,,
250.177640,30.778088,28.874092,,,1.000000,1.000000,,
250.182640,30.778088,29.193012,,,1.000000,1.000000,,
250.187640,30.778088,28.874092,,,1.000000,1.000000,,
250.192640,30.778088,28.874092,,,1.000000,1.000000,,
250.197640,31.097008,28.874092,,,1.000000,1.000000,,
250.202640,30.778088,28.874092,,,1.000000,1.000000,,
250.207640,31.097008,29.193012,,,1.000000,1.000000,,
250.212640,30.778088,28.874092,,,1.000000,1.000000,,
250.217640,31.097008,28.874092,,,1.000000,1.000000,,
250.222640,31.097008,28.874092,,,1.000000,1.000000,,
250.227640,31.097008,28.874092,,,1.000000,1.000000,,
250.232640,31.097008,29.193012,,,1.000000,1.000000,,
250.237640,30.778088,28.874092,,,1.000000,1.000000,,
250.242640,31.097008,29.193012,,,1.000000,1.000000,,
250.247640,31.097008,28.874092,,,1.000000,1.000000,,
250.252640,31.411167,29.193012,,,1.000000,1.000000,,
250.257640,31.097008,28.874092,,,1.000000,1.000000,,
250.262640,31.097008,29.193012,,,1.000000,1.000000,,
250.267640,31.097008,28.874092,,,1.000000,1.000000,,
250.272640,31.411167,29.193012,,,1.000000,1.000000,,
250.277640,31.411167,29.193012,,,1.000000,1.000000,,
250.282640,31.411167,29.193012,,,1.000000,1.000000,,
250.287640,31.411167,29.193012,,,1.000000,1.000000,,
250.292640,31.411167,28.874092,,,1.000000,1.000000,,
250.297640,31.411167,29.193012,,,1.000000,1.000000,,
250.302640,31.097008,29.193012,,,1.000000,1.000000,,
250.307640,31.411167,29.193012,,,1.000000,1.000000,,
250.312640,31.411167,29.193012,,,1.000000,1.000000,,
